ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.Plane	plane	1589924592922	 	3.3.1
USER	Airlines	146	START	1589924605222	1589924605222
REQUEST	146		AirlineLogin	1589924605222	1589924605228	OK	 
USER	Airlines	147	START	1589924605322	1589924605322
USER	Clients	152	START	1589924605322	1589924605322
REQUEST	152		ClientLogin	1589924605323	1589924605327	OK	 
REQUEST	147		AirlineLogin	1589924605323	1589924605327	OK	 
USER	Airlines	153	START	1589924605427	1589924605427
REQUEST	153		AirlineLogin	1589924605428	1589924605433	OK	 
USER	Clients	163	START	1589924605521	1589924605521
REQUEST	163		ClientLogin	1589924605522	1589924605528	OK	 
USER	Airlines	154	START	1589924605531	1589924605531
REQUEST	154		AirlineLogin	1589924605532	1589924605538	OK	 
USER	Airlines	155	START	1589924605633	1589924605633
REQUEST	155		AirlineLogin	1589924605633	1589924605637	OK	 
USER	Clients	164	START	1589924605717	1589924605717
REQUEST	164		ClientLogin	1589924605718	1589924605721	OK	 
USER	Airlines	156	START	1589924605727	1589924605727
REQUEST	156		AirlineLogin	1589924605728	1589924605735	OK	 
USER	Airlines	157	START	1589924605829	1589924605829
REQUEST	157		AirlineLogin	1589924605829	1589924605835	OK	 
USER	Clients	165	START	1589924605918	1589924605918
REQUEST	165		ClientLogin	1589924605919	1589924605925	OK	 
USER	Airlines	158	START	1589924605929	1589924605929
REQUEST	158		AirlineLogin	1589924605930	1589924605935	OK	 
USER	Airlines	159	START	1589924606029	1589924606029
REQUEST	159		AirlineLogin	1589924606029	1589924606034	OK	 
USER	Clients	166	START	1589924606118	1589924606118
REQUEST	166		ClientLogin	1589924606118	1589924606122	OK	 
USER	Airlines	160	START	1589924606129	1589924606129
REQUEST	160		AirlineLogin	1589924606130	1589924606133	OK	 
USER	Airlines	161	START	1589924606229	1589924606229
REQUEST	161		AirlineLogin	1589924606229	1589924606236	OK	 
USER	Clients	167	START	1589924606318	1589924606318
REQUEST	167		ClientLogin	1589924606320	1589924606328	OK	 
USER	Airlines	162	START	1589924606329	1589924606329
REQUEST	162		AirlineLogin	1589924606329	1589924606335	OK	 
USER	Airlines	168	START	1589924606428	1589924606428
REQUEST	168		AirlineLogin	1589924606428	1589924606432	OK	 
USER	Clients	178	START	1589924606519	1589924606519
REQUEST	178		ClientLogin	1589924606520	1589924606524	OK	 
USER	Airlines	169	START	1589924606530	1589924606530
REQUEST	169		AirlineLogin	1589924606531	1589924606540	OK	 
USER	Airlines	170	START	1589924606627	1589924606627
REQUEST	170		AirlineLogin	1589924606628	1589924606636	OK	 
USER	Clients	179	START	1589924606720	1589924606720
REQUEST	179		ClientLogin	1589924606721	1589924606729	OK	 
USER	Airlines	171	START	1589924606732	1589924606732
REQUEST	171		AirlineLogin	1589924606733	1589924606739	OK	 
USER	Airlines	172	START	1589924606827	1589924606827
REQUEST	172		AirlineLogin	1589924606828	1589924606833	OK	 
USER	Clients	180	START	1589924606922	1589924606922
REQUEST	180		ClientLogin	1589924606922	1589924606927	OK	 
USER	Airlines	173	START	1589924606933	1589924606933
REQUEST	173		AirlineLogin	1589924606934	1589924606943	OK	 
USER	Airlines	174	START	1589924607028	1589924607028
REQUEST	174		AirlineLogin	1589924607028	1589924607033	OK	 
USER	Clients	181	START	1589924607118	1589924607118
REQUEST	181		ClientLogin	1589924607118	1589924607122	OK	 
USER	Airlines	175	START	1589924607128	1589924607128
REQUEST	175		AirlineLogin	1589924607128	1589924607133	OK	 
USER	Airlines	176	START	1589924607229	1589924607229
REQUEST	176		AirlineLogin	1589924607229	1589924607233	OK	 
USER	Clients	182	START	1589924607319	1589924607319
REQUEST	182		ClientLogin	1589924607319	1589924607323	OK	 
USER	Airlines	177	START	1589924607329	1589924607329
REQUEST	177		AirlineLogin	1589924607330	1589924607337	OK	 
USER	Airlines	183	START	1589924607409	1589924607409
REQUEST	183		AirlineLogin	1589924607410	1589924607415	OK	 
USER	Clients	193	START	1589924607521	1589924607521
USER	Airlines	184	START	1589924607521	1589924607521
REQUEST	184		AirlineLogin	1589924607522	1589924607527	OK	 
REQUEST	193		ClientLogin	1589924607522	1589924607527	OK	 
USER	Airlines	185	START	1589924607619	1589924607619
REQUEST	185		AirlineLogin	1589924607620	1589924607623	OK	 
USER	Clients	194	START	1589924607720	1589924607720
USER	Airlines	186	START	1589924607720	1589924607720
REQUEST	194		ClientLogin	1589924607721	1589924607726	OK	 
REQUEST	186		AirlineLogin	1589924607721	1589924607727	OK	 
USER	Airlines	187	START	1589924607820	1589924607820
REQUEST	187		AirlineLogin	1589924607821	1589924607825	OK	 
USER	Clients	195	START	1589924607923	1589924607923
USER	Airlines	188	START	1589924607923	1589924607923
REQUEST	195		ClientLogin	1589924607923	1589924607930	OK	 
REQUEST	188		AirlineLogin	1589924607923	1589924607931	OK	 
USER	Airlines	189	START	1589924608020	1589924608020
REQUEST	189		AirlineLogin	1589924608020	1589924608030	OK	 
USER	Airlines	190	START	1589924608122	1589924608122
REQUEST	190		AirlineLogin	1589924608123	1589924608129	OK	 
USER	Clients	196	START	1589924608122	1589924608122
REQUEST	196		ClientLogin	1589924608150	1589924608155	OK	 
USER	Airlines	191	START	1589924608219	1589924608219
REQUEST	191		AirlineLogin	1589924608220	1589924608224	OK	 
USER	Clients	197	START	1589924608321	1589924608321
USER	Airlines	192	START	1589924608321	1589924608321
REQUEST	197		ClientLogin	1589924608322	1589924608351	OK	 
REQUEST	192		AirlineLogin	1589924608348	1589924608354	OK	 
USER	Airlines	198	START	1589924608420	1589924608420
REQUEST	198		AirlineLogin	1589924608421	1589924608425	OK	 
USER	Clients	208	START	1589924608511	1589924608511
REQUEST	208		ClientLogin	1589924608512	1589924608517	OK	 
USER	Airlines	199	START	1589924608522	1589924608522
REQUEST	199		AirlineLogin	1589924608524	1589924608530	OK	 
USER	Airlines	200	START	1589924608622	1589924608622
REQUEST	200		AirlineLogin	1589924608623	1589924608627	OK	 
USER	Clients	209	START	1589924608710	1589924608710
REQUEST	209		ClientLogin	1589924608711	1589924608715	OK	 
USER	Airlines	201	START	1589924608720	1589924608720
REQUEST	201		AirlineLogin	1589924608721	1589924608725	OK	 
USER	Airlines	202	START	1589924608820	1589924608820
REQUEST	202		AirlineLogin	1589924608821	1589924608827	OK	 
USER	Clients	210	START	1589924608912	1589924608912
REQUEST	210		ClientLogin	1589924608912	1589924608916	OK	 
USER	Airlines	203	START	1589924608923	1589924608923
REQUEST	203		AirlineLogin	1589924608924	1589924608928	OK	 
USER	Airlines	204	START	1589924609017	1589924609017
REQUEST	204		AirlineLogin	1589924609019	1589924609026	OK	 
USER	Clients	211	START	1589924609107	1589924609107
REQUEST	211		ClientLogin	1589924609108	1589924609113	OK	 
USER	Airlines	205	START	1589924609118	1589924609118
REQUEST	205		AirlineLogin	1589924609119	1589924609124	OK	 
USER	Airlines	206	START	1589924609219	1589924609219
REQUEST	206		AirlineLogin	1589924609219	1589924609223	OK	 
USER	Clients	212	START	1589924609308	1589924609308
REQUEST	212		ClientLogin	1589924609309	1589924609315	OK	 
USER	Airlines	207	START	1589924609318	1589924609318
REQUEST	207		AirlineLogin	1589924609318	1589924609322	OK	 
