ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AirlineRegistraVuelo	airlineregistravuelo	1588724354053	 	3.3.1
USER	AirlineRegistraVuelo	102	START	1588724357214	1588724357214
USER	AirlineRegistraVuelo	101	START	1588724357214	1588724357214
REQUEST	101		Home	1588724357215	1588724357219	OK	 
REQUEST	102		Home	1588724357215	1588724357219	OK	 
USER	AirlineRegistraVuelo	103	START	1588724357236	1588724357236
REQUEST	103		Home	1588724357236	1588724357240	OK	 
USER	AirlineRegistraVuelo	104	START	1588724357257	1588724357257
REQUEST	104		Home	1588724357258	1588724357261	OK	 
USER	AirlineRegistraVuelo	105	START	1588724357278	1588724357278
REQUEST	105		Home	1588724357279	1588724357283	OK	 
USER	AirlineRegistraVuelo	106	START	1588724357300	1588724357300
REQUEST	106		Home	1588724357300	1588724357305	OK	 
USER	AirlineRegistraVuelo	107	START	1588724357318	1588724357318
REQUEST	107		Home	1588724357319	1588724357323	OK	 
USER	AirlineRegistraVuelo	108	START	1588724357338	1588724357338
REQUEST	108		Home	1588724357339	1588724357343	OK	 
USER	AirlineRegistraVuelo	109	START	1588724357354	1588724357354
REQUEST	109		Home	1588724357355	1588724357359	OK	 
USER	AirlineRegistraVuelo	110	START	1588724357374	1588724357374
REQUEST	110		Home	1588724357375	1588724357378	OK	 
USER	AirlineRegistraVuelo	111	START	1588724357395	1588724357395
REQUEST	111		Home	1588724357396	1588724357400	OK	 
USER	AirlineRegistraVuelo	112	START	1588724357416	1588724357416
REQUEST	112		Home	1588724357418	1588724357423	OK	 
USER	AirlineRegistraVuelo	113	START	1588724357437	1588724357437
REQUEST	113		Home	1588724357438	1588724357442	OK	 
USER	AirlineRegistraVuelo	114	START	1588724357457	1588724357457
REQUEST	114		Home	1588724357458	1588724357462	OK	 
USER	AirlineRegistraVuelo	115	START	1588724357479	1588724357479
REQUEST	115		Home	1588724357480	1588724357484	OK	 
USER	AirlineRegistraVuelo	116	START	1588724357495	1588724357495
REQUEST	116		Home	1588724357496	1588724357500	OK	 
USER	AirlineRegistraVuelo	117	START	1588724357515	1588724357515
REQUEST	117		Home	1588724357516	1588724357520	OK	 
USER	AirlineRegistraVuelo	118	START	1588724357537	1588724357537
REQUEST	118		Home	1588724357538	1588724357542	OK	 
USER	AirlineRegistraVuelo	119	START	1588724357557	1588724357557
REQUEST	119		Home	1588724357558	1588724357561	OK	 
USER	AirlineRegistraVuelo	120	START	1588724357580	1588724357580
REQUEST	120		Home	1588724357580	1588724357583	OK	 
USER	AirlineRegistraVuelo	121	START	1588724357594	1588724357594
REQUEST	121		Home	1588724357595	1588724357599	OK	 
USER	AirlineRegistraVuelo	122	START	1588724357615	1588724357615
REQUEST	122		Home	1588724357616	1588724357620	OK	 
USER	AirlineRegistraVuelo	123	START	1588724357637	1588724357637
REQUEST	123		Home	1588724357638	1588724357642	OK	 
USER	AirlineRegistraVuelo	124	START	1588724357659	1588724357659
REQUEST	124		Home	1588724357660	1588724357664	OK	 
USER	AirlineRegistraVuelo	125	START	1588724357674	1588724357674
REQUEST	125		Home	1588724357675	1588724357679	OK	 
USER	AirlineRegistraVuelo	127	START	1588724357717	1588724357717
REQUEST	127		Home	1588724357717	1588724357722	OK	 
USER	AirlineRegistraVuelo	126	START	1588724357696	1588724357696
REQUEST	126		Home	1588724357723	1588724357727	OK	 
USER	AirlineRegistraVuelo	128	START	1588724357738	1588724357738
REQUEST	128		Home	1588724357741	1588724357744	OK	 
USER	AirlineRegistraVuelo	129	START	1588724357759	1588724357759
REQUEST	129		Home	1588724357759	1588724357763	OK	 
USER	AirlineRegistraVuelo	130	START	1588724357774	1588724357774
REQUEST	130		Home	1588724357775	1588724357778	OK	 
USER	AirlineRegistraVuelo	131	START	1588724357796	1588724357796
REQUEST	131		Home	1588724357796	1588724357800	OK	 
USER	AirlineRegistraVuelo	132	START	1588724357818	1588724357818
REQUEST	132		Home	1588724357818	1588724357822	OK	 
USER	AirlineRegistraVuelo	133	START	1588724357839	1588724357839
REQUEST	133		Home	1588724357840	1588724357844	OK	 
USER	AirlineRegistraVuelo	134	START	1588724357854	1588724357854
REQUEST	134		Home	1588724357855	1588724357858	OK	 
USER	AirlineRegistraVuelo	135	START	1588724357876	1588724357876
REQUEST	135		Home	1588724357877	1588724357880	OK	 
USER	AirlineRegistraVuelo	136	START	1588724357898	1588724357898
REQUEST	136		Home	1588724357899	1588724357902	OK	 
USER	AirlineRegistraVuelo	137	START	1588724357919	1588724357919
REQUEST	137		Home	1588724357920	1588724357924	OK	 
USER	AirlineRegistraVuelo	138	START	1588724357934	1588724357934
REQUEST	138		Home	1588724357935	1588724357939	OK	 
USER	AirlineRegistraVuelo	139	START	1588724357956	1588724357956
REQUEST	139		Home	1588724357957	1588724357960	OK	 
USER	AirlineRegistraVuelo	140	START	1588724357977	1588724357977
REQUEST	140		Home	1588724357978	1588724357981	OK	 
USER	AirlineRegistraVuelo	141	START	1588724357999	1588724357999
REQUEST	141		Home	1588724358000	1588724358004	OK	 
USER	AirlineRegistraVuelo	142	START	1588724358014	1588724358014
REQUEST	142		Home	1588724358015	1588724358018	OK	 
USER	AirlineRegistraVuelo	143	START	1588724358036	1588724358036
REQUEST	143		Home	1588724358037	1588724358041	OK	 
USER	AirlineRegistraVuelo	144	START	1588724358058	1588724358058
REQUEST	144		Home	1588724358059	1588724358062	OK	 
USER	AirlineRegistraVuelo	145	START	1588724358079	1588724358079
REQUEST	145		Home	1588724358080	1588724358083	OK	 
USER	AirlineRegistraVuelo	146	START	1588724358094	1588724358094
