ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
USER	AirlineListAirports	80	START	1590233312044	1590233312044
REQUEST	101		Home	1590233312044	1590233312047	OK	 
REQUEST	59		Home	1590233312044	1590233312047	OK	 
REQUEST	17		Home	1590233312044	1590233312047	OK	 
REQUEST	80		Home	1590233312044	1590233312047	OK	 
USER	AirlineCreateAirport	39	START	1590233312131	1590233312131
USER	ClientShowAirport	123	START	1590233312131	1590233312131
USER	AirlineDeleteAirport	144	START	1590233312131	1590233312131
REQUEST	144		Home	1590233312132	1590233312134	OK	 
REQUEST	123		Home	1590233312132	1590233312134	OK	 
REQUEST	39		Home	1590233312132	1590233312134	OK	 
USER	ClientListAirports	102	START	1590233312141	1590233312141
USER	AirlineListAirports	81	START	1590233312141	1590233312141
USER	AirlineShowAirport	60	START	1590233312141	1590233312141
USER	AirlineEditAirport	18	START	1590233312141	1590233312141
REQUEST	60		Home	1590233312141	1590233312144	OK	 
REQUEST	81		Home	1590233312141	1590233312144	OK	 
REQUEST	18		Home	1590233312141	1590233312144	OK	 
REQUEST	102		Home	1590233312141	1590233312144	OK	 
USER	ClientShowAirport	124	START	1590233312234	1590233312234
USER	AirlineCreateAirport	40	START	1590233312234	1590233312234
REQUEST	124		Home	1590233312234	1590233312241	OK	 
REQUEST	40		Home	1590233312240	1590233312243	OK	 
USER	AirlineListAirports	82	START	1590233312244	1590233312244
USER	ClientListAirports	103	START	1590233312244	1590233312244
USER	AirlineShowAirport	61	START	1590233312244	1590233312244
USER	AirlineEditAirport	19	START	1590233312244	1590233312244
USER	AirlineDeleteAirport	145	START	1590233312234	1590233312234
REQUEST	82		Home	1590233312244	1590233312247	OK	 
REQUEST	19		Home	1590233312244	1590233312247	OK	 
REQUEST	103		Home	1590233312244	1590233312247	OK	 
REQUEST	61		Home	1590233312244	1590233312247	OK	 
REQUEST	145		Home	1590233312247	1590233312249	OK	 
USER	AirlineCreateAirport	41	START	1590233312330	1590233312330
USER	AirlineDeleteAirport	146	START	1590233312330	1590233312330
USER	ClientShowAirport	125	START	1590233312330	1590233312330
REQUEST	146		Home	1590233312331	1590233312333	OK	 
REQUEST	125		Home	1590233312331	1590233312333	OK	 
REQUEST	41		Home	1590233312331	1590233312333	OK	 
USER	AirlineEditAirport	20	START	1590233312340	1590233312340
USER	ClientListAirports	104	START	1590233312340	1590233312340
USER	AirlineListAirports	83	START	1590233312340	1590233312340
USER	AirlineShowAirport	62	START	1590233312340	1590233312340
REQUEST	20		Home	1590233312341	1590233312343	OK	 
REQUEST	62		Home	1590233312341	1590233312343	OK	 
REQUEST	83		Home	1590233312341	1590233312343	OK	 
REQUEST	104		Home	1590233312341	1590233312343	OK	 
USER	ClientShowAirport	126	START	1590233312429	1590233312429
USER	AirlineCreateAirport	42	START	1590233312429	1590233312429
USER	AirlineDeleteAirport	147	START	1590233312429	1590233312429
REQUEST	126		Home	1590233312430	1590233312432	OK	 
REQUEST	147		Home	1590233312430	1590233312432	OK	 
REQUEST	42		Home	1590233312430	1590233312432	OK	 
USER	AirlineEditAirport	21	START	1590233312439	1590233312439
USER	AirlineShowAirport	63	START	1590233312439	1590233312439
