ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	acmevolar.model.ClienteCreaReservaCSV	clientecreareservacsv	1590716211648	 	3.3.1
REQUEST	24		CreateBook	1590716301684	1590716301700	OK	 
REQUEST	15		BookCreated	1590716301684	1590716301706	OK	 
USER	Clients create books	10	END	1590716231637	1590716301716
USER	Clients create books	46	START	1590716303636	1590716303636
REQUEST	46		Home	1590716303636	1590716303650	OK	 
REQUEST	41		LoginFormClient	1590716303658	1590716303661	OK	 
REQUEST	33		LoggedClient	1590716303658	1590716303664	OK	 
REQUEST	33		LoggedClient Redirect 1	1590716303664	1590716303668	OK	 
REQUEST	25		CreateBook	1590716303690	1590716303711	OK	 
USER	Clients create books	11	END	1590716233635	1590716303727
REQUEST	16		BookCreated	1590716303705	1590716303728	OK	 
USER	Clients create books	47	START	1590716305639	1590716305639
REQUEST	47		Home	1590716305640	1590716305645	OK	 
REQUEST	42		LoginFormClient	1590716305654	1590716305657	OK	 
REQUEST	34		LoggedClient	1590716305676	1590716305681	OK	 
REQUEST	34		LoggedClient Redirect 1	1590716305682	1590716305690	OK	 
REQUEST	26		CreateBook	1590716305676	1590716305694	OK	 
REQUEST	17		BookCreated	1590716305698	1590716305720	OK	 
USER	Clients create books	12	END	1590716235637	1590716305720
USER	Clients create books	48	START	1590716307626	1590716307626
REQUEST	48		Home	1590716307627	1590716307631	OK	 
REQUEST	43		LoginFormClient	1590716307649	1590716307651	OK	 
REQUEST	35		LoggedClient	1590716307664	1590716307669	OK	 
REQUEST	35		LoggedClient Redirect 1	1590716307670	1590716307696	OK	 
REQUEST	27		CreateBook	1590716307664	1590716307697	OK	 
REQUEST	18		BookCreated	1590716307716	1590716307740	OK	 
USER	Clients create books	13	END	1590716237637	1590716307774
USER	Clients create books	49	START	1590716309639	1590716309639
REQUEST	49		Home	1590716309643	1590716309649	OK	 
REQUEST	44		LoginFormClient	1590716309656	1590716309661	OK	 
REQUEST	36		LoggedClient	1590716309657	1590716309663	OK	 
REQUEST	36		LoggedClient Redirect 1	1590716309664	1590716309667	OK	 
REQUEST	28		CreateBook	1590716309678	1590716309696	OK	 
REQUEST	19		BookCreated	1590716309691	1590716309717	OK	 
USER	Clients create books	14	END	1590716239635	1590716309726
USER	Clients create books	50	START	1590716311639	1590716311639
REQUEST	50		Home	1590716311640	1590716311645	OK	 
REQUEST	45		LoginFormClient	1590716311654	1590716311659	OK	 
REQUEST	37		LoggedClient	1590716311665	1590716311670	OK	 
REQUEST	29		CreateBook	1590716311665	1590716311683	OK	 
REQUEST	37		LoggedClient Redirect 1	1590716311671	1590716311691	OK	 
USER	Clients create books	15	END	1590716241634	1590716311718
REQUEST	20		BookCreated	1590716311697	1590716311721	OK	 
REQUEST	38		LoggedClient	1590716313655	1590716313659	OK	 
REQUEST	38		LoggedClient Redirect 1	1590716313660	1590716313663	OK	 
REQUEST	46		LoginFormClient	1590716313665	1590716313668	OK	 
REQUEST	30		CreateBook	1590716313697	1590716313720	OK	 
USER	Clients create books	16	END	1590716243636	1590716313730
REQUEST	21		BookCreated	1590716313709	1590716313733	OK	 
REQUEST	47		LoginFormClient	1590716315656	1590716315660	OK	 
REQUEST	39		LoggedClient	1590716315657	1590716315663	OK	 
REQUEST	39		LoggedClient Redirect 1	1590716315664	1590716315668	OK	 
REQUEST	31		CreateBook	1590716315688	1590716315702	OK	 
USER	Clients create books	17	END	1590716245636	1590716315719
REQUEST	22		BookCreated	1590716315709	1590716315728	OK	 
REQUEST	48		LoginFormClient	1590716317649	1590716317651	OK	 
REQUEST	40		LoggedClient	1590716317670	1590716317675	OK	 
REQUEST	32		CreateBook	1590716317670	1590716317690	OK	 
