ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaNuevaPistaAterrizajeCSV	aerolineacreanuevapistaaterrizajecsv	1590716607430	 	3.3.1
REQUEST	177		Home	1590716618275	1590716618281	OK	 
REQUEST	57		LoginAirline	1590716618307	1590716618310	OK	 
USER	AirlineCreateRunway	178	START	1590716618329	1590716618329
REQUEST	178		Home	1590716618330	1590716618335	OK	 
REQUEST	58		LoginAirline	1590716618355	1590716618357	OK	 
USER	AirlineCreateRunway	179	START	1590716618375	1590716618375
REQUEST	179		Home	1590716618376	1590716618381	OK	 
REQUEST	59		LoginAirline	1590716618408	1590716618410	OK	 
USER	AirlineCreateRunway	180	START	1590716618429	1590716618429
REQUEST	180		Home	1590716618430	1590716618434	OK	 
REQUEST	60		LoginAirline	1590716618465	1590716618468	OK	 
USER	AirlineCreateRunway	181	START	1590716618475	1590716618475
REQUEST	181		Home	1590716618476	1590716618481	OK	 
REQUEST	61		LoginAirline	1590716618508	1590716618510	OK	 
USER	AirlineCreateRunway	182	START	1590716618539	1590716618539
REQUEST	182		Home	1590716618539	1590716618544	OK	 
REQUEST	62		LoginAirline	1590716618554	1590716618557	OK	 
USER	AirlineCreateRunway	183	START	1590716618585	1590716618585
REQUEST	183		Home	1590716618586	1590716618590	OK	 
REQUEST	63		LoginAirline	1590716618597	1590716618599	OK	 
USER	AirlineCreateRunway	184	START	1590716618634	1590716618634
REQUEST	184		Home	1590716618634	1590716618639	OK	 
REQUEST	64		LoginAirline	1590716618644	1590716618647	OK	 
USER	AirlineCreateRunway	185	START	1590716618686	1590716618686
REQUEST	185		Home	1590716618687	1590716618692	OK	 
REQUEST	65		LoginAirline	1590716618708	1590716618711	OK	 
USER	AirlineCreateRunway	186	START	1590716618734	1590716618734
REQUEST	186		Home	1590716618735	1590716618740	OK	 
REQUEST	66		LoginAirline	1590716618778	1590716618781	OK	 
USER	AirlineCreateRunway	187	START	1590716618789	1590716618789
REQUEST	187		Home	1590716618790	1590716618796	OK	 
REQUEST	67		LoginAirline	1590716618805	1590716618809	OK	 
USER	AirlineCreateRunway	188	START	1590716618838	1590716618838
REQUEST	188		Home	1590716618840	1590716618855	OK	 
REQUEST	68		LoginAirline	1590716618858	1590716618864	OK	 
USER	AirlineCreateRunway	189	START	1590716618890	1590716618890
REQUEST	189		Home	1590716618891	1590716618897	OK	 
REQUEST	69		LoginAirline	1590716618894	1590716618899	OK	 
REQUEST	70		LoginAirline	1590716618954	1590716618958	OK	 
USER	AirlineCreateRunway	190	START	1590716618939	1590716618939
REQUEST	190		Home	1590716618967	1590716618973	OK	 
USER	AirlineCreateRunway	191	START	1590716618986	1590716618986
REQUEST	191		Home	1590716618987	1590716618993	OK	 
REQUEST	71		LoginAirline	1590716619009	1590716619011	OK	 
USER	AirlineCreateRunway	192	START	1590716619034	1590716619034
