ASSERTION	AAEDAAEBAwAAAAAAAEB/QA==
ASSERTION	AAEDAAECAwAAAAAAAEB/QA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.AerolineaCreaAvionCSV	aerolineacreaavioncsv	1590711334090	 	3.3.1
REQUEST	162		AirlineLogin	1590711353189	1590711353192	OK	 
USER	Airlines	163	START	1590711353290	1590711353290
REQUEST	163		AirlineLogin	1590711353291	1590711353295	OK	 
USER	Airlines	164	START	1590711353386	1590711353386
REQUEST	164		AirlineLogin	1590711353386	1590711353390	OK	 
USER	Airlines	165	START	1590711353488	1590711353488
REQUEST	165		AirlineLogin	1590711353488	1590711353492	OK	 
USER	Airlines	166	START	1590711353590	1590711353590
REQUEST	166		AirlineLogin	1590711353591	1590711353595	OK	 
USER	Airlines	167	START	1590711353691	1590711353691
REQUEST	167		AirlineLogin	1590711353692	1590711353696	OK	 
USER	Airlines	168	START	1590711353786	1590711353786
REQUEST	168		AirlineLogin	1590711353786	1590711353791	OK	 
USER	Airlines	169	START	1590711353886	1590711353886
REQUEST	169		AirlineLogin	1590711353886	1590711353890	OK	 
USER	Airlines	170	START	1590711353991	1590711353991
REQUEST	170		AirlineLogin	1590711353991	1590711353996	OK	 
USER	Airlines	171	START	1590711354090	1590711354090
REQUEST	171		AirlineLogin	1590711354091	1590711354096	OK	 
USER	Airlines	172	START	1590711354190	1590711354190
REQUEST	172		AirlineLogin	1590711354191	1590711354196	OK	 
USER	Airlines	173	START	1590711354290	1590711354290
REQUEST	173		AirlineLogin	1590711354291	1590711354294	OK	 
USER	Airlines	174	START	1590711354391	1590711354391
REQUEST	174		AirlineLogin	1590711354391	1590711354395	OK	 
USER	Airlines	175	START	1590711354485	1590711354485
REQUEST	175		AirlineLogin	1590711354486	1590711354489	OK	 
USER	Airlines	176	START	1590711354585	1590711354585
REQUEST	176		AirlineLogin	1590711354586	1590711354589	OK	 
USER	Airlines	177	START	1590711354690	1590711354690
REQUEST	177		AirlineLogin	1590711354691	1590711354694	OK	 
USER	Airlines	178	START	1590711354788	1590711354788
REQUEST	178		AirlineLogin	1590711354789	1590711354792	OK	 
USER	Airlines	179	START	1590711354887	1590711354887
REQUEST	179		AirlineLogin	1590711354888	1590711354892	OK	 
USER	Airlines	180	START	1590711354986	1590711354986
REQUEST	180		AirlineLogin	1590711354987	1590711354990	OK	 
USER	Airlines	181	START	1590711355086	1590711355086
REQUEST	181		AirlineLogin	1590711355087	1590711355091	OK	 
USER	Airlines	182	START	1590711355186	1590711355186
REQUEST	182		AirlineLogin	1590711355186	1590711355190	OK	 
USER	Airlines	183	START	1590711355286	1590711355286
REQUEST	183		AirlineLogin	1590711355287	1590711355290	OK	 
USER	Airlines	184	START	1590711355388	1590711355388
REQUEST	184		AirlineLogin	1590711355388	1590711355392	OK	 
USER	Airlines	185	START	1590711355490	1590711355490
REQUEST	185		AirlineLogin	1590711355490	1590711355494	OK	 
USER	Airlines	186	START	1590711355591	1590711355591
REQUEST	186		AirlineLogin	1590711355591	1590711355595	OK	 
USER	Airlines	187	START	1590711355691	1590711355691
REQUEST	187		AirlineLogin	1590711355691	1590711355695	OK	 
USER	Airlines	188	START	1590711355789	1590711355789
REQUEST	188		AirlineLogin	1590711355790	1590711355794	OK	 
USER	Airlines	189	START	1590711355888	1590711355888
REQUEST	189		AirlineLogin	1590711355889	1590711355892	OK	 
USER	Airlines	190	START	1590711355988	1590711355988
REQUEST	190		AirlineLogin	1590711355988	1590711355992	OK	 
USER	Airlines	191	START	1590711356089	1590711356089
REQUEST	191		AirlineLogin	1590711356090	1590711356094	OK	 
USER	Airlines	192	START	1590711356188	1590711356188
REQUEST	192		AirlineLogin	1590711356189	1590711356193	OK	 
USER	Airlines	193	START	1590711356288	1590711356288
REQUEST	193		AirlineLogin	1590711356289	1590711356293	OK	 
USER	Airlines	194	START	1590711356387	1590711356387
REQUEST	194		AirlineLogin	1590711356388	1590711356391	OK	 
USER	Airlines	195	START	1590711356489	1590711356489
REQUEST	195		AirlineLogin	1590711356489	1590711356493	OK	 
USER	Airlines	196	START	1590711356589	1590711356589
REQUEST	196		AirlineLogin	1590711356590	1590711356593	OK	 
USER	Airlines	197	START	1590711356691	1590711356691
REQUEST	197		AirlineLogin	1590711356691	1590711356695	OK	 
USER	Airlines	198	START	1590711356791	1590711356791
REQUEST	198		AirlineLogin	1590711356791	1590711356795	OK	 
USER	Airlines	199	START	1590711356886	1590711356886
REQUEST	199		AirlineLogin	1590711356887	1590711356890	OK	 
USER	Airlines	200	START	1590711356987	1590711356987
REQUEST	200		AirlineLogin	1590711356987	1590711356991	OK	 
USER	Airlines	201	START	1590711357086	1590711357086
REQUEST	201		AirlineLogin	1590711357086	1590711357091	OK	 
USER	Airlines	202	START	1590711357188	1590711357188
REQUEST	202		AirlineLogin	1590711357188	1590711357192	OK	 
USER	Airlines	203	START	1590711357290	1590711357290
REQUEST	203		AirlineLogin	1590711357290	1590711357294	OK	 
USER	Airlines	204	START	1590711357386	1590711357386
REQUEST	204		AirlineLogin	1590711357386	1590711357390	OK	 
USER	Airlines	205	START	1590711357486	1590711357486
REQUEST	205		AirlineLogin	1590711357486	1590711357490	OK	 
USER	Airlines	206	START	1590711357587	1590711357587
REQUEST	206		AirlineLogin	1590711357587	1590711357591	OK	 
USER	Airlines	207	START	1590711357686	1590711357686
REQUEST	207		AirlineLogin	1590711357687	1590711357691	OK	 
USER	Airlines	208	START	1590711357786	1590711357786
REQUEST	208		AirlineLogin	1590711357786	1590711357791	OK	 
USER	Airlines	209	START	1590711357886	1590711357886
REQUEST	209		AirlineLogin	1590711357887	1590711357891	OK	 
USER	Airlines	210	START	1590711357990	1590711357990
REQUEST	210		AirlineLogin	1590711357991	1590711357995	OK	 
USER	Airlines	211	START	1590711358090	1590711358090
REQUEST	211		AirlineLogin	1590711358091	1590711358095	OK	 
USER	Airlines	212	START	1590711358185	1590711358185
REQUEST	212		AirlineLogin	1590711358186	1590711358189	OK	 
USER	Airlines	213	START	1590711358291	1590711358291
REQUEST	213		AirlineLogin	1590711358291	1590711358295	OK	 
USER	Airlines	214	START	1590711358385	1590711358385
REQUEST	214		AirlineLogin	1590711358386	1590711358390	OK	 
USER	Airlines	215	START	1590711358486	1590711358486
REQUEST	215		AirlineLogin	1590711358486	1590711358490	OK	 
USER	Airlines	216	START	1590711358585	1590711358585
REQUEST	216		AirlineLogin	1590711358586	1590711358589	OK	 
USER	Airlines	217	START	1590711358690	1590711358690
REQUEST	217		AirlineLogin	1590711358691	1590711358695	OK	 
USER	Airlines	218	START	1590711358785	1590711358785
REQUEST	218		AirlineLogin	1590711358786	1590711358790	OK	 
USER	Airlines	219	START	1590711358885	1590711358885
REQUEST	219		AirlineLogin	1590711358886	1590711358890	OK	 
USER	Airlines	220	START	1590711358986	1590711358986
REQUEST	220		AirlineLogin	1590711358986	1590711358990	OK	 
USER	Airlines	221	START	1590711359088	1590711359088
REQUEST	221		AirlineLogin	1590711359088	1590711359092	OK	 
USER	Airlines	222	START	1590711359188	1590711359188
REQUEST	222		AirlineLogin	1590711359188	1590711359192	OK	 
USER	Airlines	223	START	1590711359290	1590711359290
REQUEST	223		AirlineLogin	1590711359291	1590711359295	OK	 
USER	Airlines	224	START	1590711359390	1590711359390
REQUEST	224		AirlineLogin	1590711359391	1590711359394	OK	 
USER	Airlines	225	START	1590711359489	1590711359489
REQUEST	225		AirlineLogin	1590711359489	1590711359493	OK	 
USER	Airlines	226	START	1590711359590	1590711359590
REQUEST	226		AirlineLogin	1590711359590	1590711359594	OK	 
USER	Airlines	227	START	1590711359685	1590711359685
REQUEST	227		AirlineLogin	1590711359686	1590711359690	OK	 
USER	Airlines	228	START	1590711359786	1590711359786
REQUEST	228		AirlineLogin	1590711359787	1590711359810	OK	 
USER	Airlines	229	START	1590711359885	1590711359885
REQUEST	229		AirlineLogin	1590711359886	1590711359889	OK	 
USER	Airlines	230	START	1590711359986	1590711359986
REQUEST	230		AirlineLogin	1590711359987	1590711359990	OK	 
USER	Airlines	231	START	1590711360085	1590711360085
REQUEST	231		AirlineLogin	1590711360086	1590711360090	OK	 
USER	Airlines	232	START	1590711360186	1590711360186
REQUEST	232		AirlineLogin	1590711360186	1590711360190	OK	 
USER	Airlines	233	START	1590711360285	1590711360285
REQUEST	233		AirlineLogin	1590711360286	1590711360290	OK	 
USER	Airlines	234	START	1590711360386	1590711360386
REQUEST	234		AirlineLogin	1590711360386	1590711360390	OK	 
USER	Airlines	235	START	1590711360486	1590711360486
REQUEST	235		AirlineLogin	1590711360487	1590711360490	OK	 
USER	Airlines	236	START	1590711360587	1590711360587
